date,state,confirmed,deaths
2020-03-18,Bolivar,7,0
2020-03-18,Boyaca,0,0
2020-03-18,Caldas,1,0
2020-03-18,Caqueta,0,0
2020-03-18,Casanare,0,0
2020-03-18,Cauca,0,0
2020-03-18,Cesar,0,0
2020-03-18,Choco,0,0
2020-03-18,Cordoba,0,0
2020-03-18,Cundinamarca,3,0
2020-03-18,Guainia,0,0
2020-03-18,Guaviare,0,0
2020-03-18,Huila,8,0
2020-03-18,La Guajira,0,0
2020-03-18,Magdalena,0,0
2020-03-18,Meta,1,0
2020-03-18,Narino,0,0
2020-03-18,Norte de Santander,3,0
2020-03-18,Putumayo,0,0
2020-03-18,Quindio,2,0
2020-03-18,Risaralda,5,0
2020-03-18,San Andres y Providencia,0,0
2020-03-18,Santander,2,0
2020-03-18,Sucre,0,0
2020-03-18,Tolima,2,0
2020-03-18,Valle del Cauca,13,0
2020-03-18,Vaupes,0,0
2020-03-18,Vichada,0,0
2020-03-19,Bogota,53,0
2020-03-19,Amazonas,0,0
2020-03-19,Antioquia,11,0
2020-03-19,Arauca,0,0
2020-03-19,Atlantico,5,0
2020-03-19,Bolivar,9,0
2020-03-19,Boyaca,0,0
2020-03-19,Caldas,2,0
2020-03-19,Caqueta,0,0
2020-03-19,Casanare,0,0
2020-03-19,Cauca,2,0
2020-03-19,Cesar,0,0
2020-03-19,Choco,0,0
2020-03-19,Cordoba,0,0
2020-03-19,Cundinamarca,4,0
2020-03-19,Guainia,0,0
2020-03-19,Guaviare,0,0
2020-03-19,Huila,9,0
2020-03-19,La Guajira,0,0
2020-03-19,Magdalena,0,0
2020-03-19,Meta,1,0
2020-03-19,Narino,0,0
2020-03-19,Norte de Santander,6,0
2020-03-19,Putumayo,0,0
2020-03-19,Quindio,3,0
2020-03-19,Risaralda,5,0
2020-03-19,San Andres y Providencia,0,0
2020-03-19,Santander,2,0
2020-03-19,Sucre,0,0
2020-03-19,Tolima,2,0
2020-03-19,Valle del Cauca,14,0
2020-03-19,Vaupes,0,0
2020-03-19,Vichada,0,0
2020-03-20,Bogota,65,0
2020-03-20,Amazonas,0,0
2020-03-20,Antioquia,22,0
2020-03-20,Arauca,0,0
2020-03-20,Atlantico,5,0
2020-03-20,Bolivar,9,0
2020-03-20,Boyaca,0,0
2020-03-20,Caldas,2,0
2020-03-20,Caqueta,0,0
2020-03-20,Casanare,0,0
2020-03-20,Cauca,2,0
2020-03-20,Cesar,0,0
2020-03-20,Choco,0,0
2020-03-20,Cordoba,0,0
2020-03-20,Cundinamarca,7,0
2020-03-20,Guainia,0,0
2020-03-20,Guaviare,0,0
2020-03-20,Huila,9,0
2020-03-20,La Guajira,0,0
2020-03-20,Magdalena,2,0
2020-03-20,Meta,1,0
2020-03-20,Narino,0,0
2020-03-20,Norte de Santander,6,0
2020-03-20,Putumayo,0,0
2020-03-20,Quindio,3,0
2020-03-20,Risaralda,6,0
2020-03-20,San Andres y Providencia,0,0
2020-03-20,Santander,2,0
2020-03-20,Sucre,0,0
2020-03-20,Tolima,2,0
2020-03-20,Valle del Cauca,15,0
2020-03-20,Vaupes,0,0
2020-03-20,Vichada,0,0
2020-03-21,Bogota,88,0
2020-03-21,Amazonas,0,0
2020-03-21,Antioquia,25,0
2020-03-21,Arauca,0,0
2020-03-21,Atlantico,7,0
2020-03-21,Bolivar,14,0
2020-03-21,Boyaca,0,0
2020-03-21,Caldas,3,0
2020-03-21,Caqueta,0,0
